PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000993,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Al Itkan*,"35.88246855776185,36.17553573844816",IS,148,136,145,130,559,0.45,0.25,0.9,0.9,0.83,0.61,,3. Partially covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000994,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Al Jabal*,"35.883828144024186,36.17391885116395",IS,294,269,222,186,971,0.55,0.19,0.8,0.84,0.91,0.7,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000995,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Al Taawun*,"35.886254466129174,36.17945001630888",IS,59,53,81,68,261,0.5,0.2,0.85,0.89,0.86,0.55,,Not covered - N/A,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000996,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Abo Badea*,"35.88569449175286,36.1786413512832",IS,40,35,50,45,170,0.55,0.2,0.9,0.84,0.8,0.55,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000997,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Adam*,"35.88656499712946,36.17813086745224",IS,160,140,130,125,555,0.53,0.3,0.87,0.84,0.8,0.55,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000998,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Ahl A l Quran*,"35.90784048163048,36.185878349604664",IS,70,60,65,55,250,0.56,0.1,0.9,0.86,0.87,0.4,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,3. Partially covered
CP000999,Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Insan*,"35.89403501965167,36.1821469020426",IS,72,63,75,60,270,0.6,0.24,0.88,0.84,0.88,0.55,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000894,Idleb,Jisr-Ash-Shugur,Obein,Aneen Al Sahel * ,"35.86262698956164,36.18103638491983",IS,80,70,80,70,300,0.6,0.44,0.9,0.9,0.8,0.45,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,3. Partially covered
CP000895,Idleb,Jisr-Ash-Shugur,Obein,Al Najeih *,"35.85485936639555,36.18265908842987",IS,144,158,145,140,587,0.59,0.25,0.85,0.9,0.87,0.65,,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000909,Idleb,Jisr-Ash-Shugur,Obein,Al Salata *,"35.845103239033904,36.18768644087004",IS,232,301,280,263,1076,0.6,0.5,0.85,0.89,0.84,0.65,,2.Mostly covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
