governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Harim,Salam,Al Forkan,"36.307826,36.674392",IS,383,364,319,324,1390,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ghab Al Mankoub,"36.2112705710001,36.631485776",IS,148,160,145,166,619,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Salam,Al Goroub,"36.367132732,36.625524884",IS,196,237,148,149,730,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Jisr-Ash-Shugur,Oben,Al Hanbushiyeh,"35.796408,36.263596",IS,342,322,592,538,1794,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Haneen,"36.3035005710001,36.676635776",IS,114,118,97,87,416,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,139,143,143,109,534,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Harameen (and extensions),"36.551269,37.200675",TC,2189,1938,1396,1198,6721,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,125,132,95,108,460,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Liyajlikum,Al Hurriya wa Adalah,"36.387032732,36.795974884",IS,396,393,221,268,1278,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,407,449,361,366,1583,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,346,416,281,282,1325,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Liyajlikum,Al Ikhlas and Al Taqua,"36.351822732,36.659004884",IS,256,339,172,130,897,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Imam,"36.217813,36.631574",IS,239,283,302,262,1085,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Sarmada,Al Imdad,"36.290864,36.779152",IS,155,95,103,92,445,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Al Intisar,"36.367695,36.707598",IS,182,166,149,141,638,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Jabal,"36.3555105710001,36.638085776",IS,81,83,68,62,294,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Salam,Al Jolan,"36.289554,36.763847",IS,440,450,361,330,1581,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Kaderiyeh,"35.915600696,36.301948886",IS,36,36,33,24,129,1,0,0,0,0,0,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Karama,"36.381182,36.673619",IS,797,829,688,811,3125,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Karim Al Awsat,"36.3965405710001,36.688045776",IS,185,189,156,141,671,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Salam,Al Khalij,"36.221223,36.67421",IS,176,135,97,79,488,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Khirba Al Muhasara,"36.2029169150001,36.6066535140001",IS,183,148,141,138,610,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Harim,Al Madenh Monarh (Harim),"36.198353731,36.498175569",IS,166,198,148,147,659,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Salam,Al Madiq 1,"36.302975367,36.719929742",IS,23,37,29,26,115,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Salam,Al Madiq 2,"36.322265367,36.682919742",IS,79,83,59,58,279,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Qah,Al Magad,"36.2782922,36.8089944",IS,172,169,146,150,638,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Mahabbah,"36.375375,36.772364",IS,223,216,145,144,728,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Manara,"36.264585,36.6958721",IS,250,178,157,153,738,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Mashhad,"36.1811645350001,36.7420136",IS,124,70,70,51,315,0.1,1,1,1,0.1,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Salam,Al Midan,"36.336739,36.671332",IS,306,320,270,267,1162,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Al Motasem,"36.242911,36.731429",IS,163,144,103,103,512,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Al Muaysruneh,"35.4948247067398,36.7842338432137",IS,82,96,56,51,285,1,0.5,0.25,0,0.95,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,2. Mostly covered,2. Mostly covered
Idleb,Harim,Qah,Al Muhajreen,"36.286313,36.768762",IS,157,151,123,119,551,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Mustakbal,"36.297669,36.711999",IS,306,320,212,207,1045,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Nahda,"36.3177745350001,36.7011336000001",IS,592,637,465,406,2100,0.3,1,1,1,0.3,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Karama,Al Nahda Aleslamia,"36.228928,36.797818",IS,191,198,167,121,677,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Bab Al Hawa,Al Nahdha,"36.106156,36.387444",IS,107,146,147,131,531,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Naief,"36.296282,36.748782",IS,76,79,51,41,247,0.15,1,1,1,0.05,0,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,4. Not covered - N/A
Idleb,Harim,Salam,Al Nasser,"36.30962,36.73818",IS,438,498,383,359,1678,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Liyajlikum,Al Nawaeer,"36.210279,36.615782",IS,468,629,326,327,1750,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Nour,"36.245673,36.762192",IS,251,222,195,182,850,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Sarmada,Al Nouri,"36.208377,36.599485",IS,192,237,253,255,937,0.8,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Qah,Al Radwan,"36.214582732,36.640624884",IS,81,77,69,59,286,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Janobi,"35.5870075050853,36.7415257252436",IS,84,96,61,52,293,1,0.25,0.1,0,0.4,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,2. Mostly covered
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Shamali,"35.5858658727887,36.8818002503068",IS,40,27,18,21,106,1,0.5,0.1,0,0.45,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,2. Mostly covered
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Sharqi,"35.5461073379964,36.8588766614769",IS,173,146,98,56,473,1,0.5,0.25,0,0.45,0.75,1. Fully covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,2. Mostly covered
Idleb,Harim,Qah,Al Rahmah,"36.386302,36.791668",IS,218,203,141,133,696,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.209653,36.665601",IS,431,445,331,271,1478,0.1,1,1,1,0.1,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Rayan,"36.702078,37.0032138",IS,2420,2491,1588,1294,7793,0,1,1,1,1,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Aleppo,A'zaz,Azaz,Al Resalah (Al Armuda),"36.649798,37.188062",PC,2899,2725,3146,2705,11475,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,"Al Resalah (extension of Doaa, Doaa & Saleh)","36.330121,36.766569",IS,109,100,82,78,369,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Sadaka,"36.131799,36.614381",IS,90,129,121,98,438,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Safa wa Al Marwa,"36.22232,36.636024",IS,255,195,201,206,857,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Big Hir Jamus,Al Safsafa,"36.181181,36.482508",IS,587,456,518,458,2019,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Salam,Al Salam,"36.299527,36.683876",IS,617,614,426,403,2060,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Shahba,"36.487114,37.085992",IS,287,346,317,245,1195,0.9,0.9,0.5,0.2,0.2,0.4,2. Mostly covered,2. Mostly covered,3. Partially covered,3. Partially covered,3. Partially covered,3. Partially covered
Idleb,Harim,Liyajlikum,Al Shrouk,"36.369132,36.627979",IS,163,150,146,144,603,1,1,1,1,0,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Shuhada,"36.317343,36.659472",IS,168,196,176,67,607,0,1,1,1,1,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Big Hir Jamus,Al Taakhi,"36.066364,36.390104",IS,350,354,352,284,1340,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Qah,Al Tawheed,"36.322642,36.747819",IS,97,82,88,85,352,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Sarmada,Al Ummah,"36.247425,36.702068",IS,151,157,122,112,542,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
