governorate,district,Sub District,Community,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,Protection,CP,GBV,Health**,Education
Idleb,Harim,Dana,Qah,Qah,Al Imam,"36.232723,36.628954",IS,232,274,293,256,1055,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,FC,Out of Camp
Idleb,Harim,Dana,Qah,Qah,Al Intisar,"36.218015,36.614218",IS,177,173,144,144,638,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered,Yes,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Jabal,"36.3928705710001,36.730145776",IS,,,,,266,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,Yes,No,No,,
Idleb,Harim,Dana,Qah,Salam,Al Jolan,"36.318324,36.767307",IS,461,472,378,348,1660,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,FC,
Idleb,Jisr-Ash-Shugur,Janudiyeh,Qaderiyeh - Qayqun,Jisr-Ash-Shugur,Al Kaderiyeh,"35.879380696,36.339748886",IS,36,36,33,24,129,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Karama,"36.339952,36.702929",IS,745,774,643,759,2921,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,FC,
Idleb,Harim,Dana,Atma,Karama,Al Karim Al Awsat,"36.3150705710001,36.690845776",IS,,,,,425,,1,1,1,,,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Salam,Al Khalij,"36.279663,36.7553",IS,165,127,91,72,455,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,Available in Al Jolan,
Idleb,Harim,Dana,Bab El Hawa (Dana),Bab Al Hawa,Al Khirba Al Muhasara,"36.2976269150001,36.7835635140001",IS,148,142,126,111,527,1,,,,,1,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,No,No,No,,
Idleb,Harim,Harim,Harim,Harim,Al Madenh Monarh (Harim),"36.169193731,36.447945569",IS,,,,,148,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Aqrabat (Dana),Salam,Al Madiq 1,"36.362845367,36.759259742",IS,,,,,113,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Aqrabat (Dana),Salam,Al Madiq 2,"36.201245367,36.774959742",IS,,,,,114,,,,,,,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,No,No,No,,
Idleb,Harim,Dana,Qah,Qah,Al Magad,"36.3628222,36.7911944",IS,160,158,136,142,596,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,Yes,No,No,,
Idleb,Harim,Dana,Atma,Karama,Al Mahabbah,"36.257435,36.718384",IS,221,214,147,146,728,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,Out of Camp
Idleb,Harim,Dana,Atma,Karama,Al Manara,"36.245205,36.633551",IS,223,159,140,137,659,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,No,No,No,,
Idleb,Harim,Dana,Deir Hassan - Darhashan,Deir Hassan,Al Mashhad,"36.3135245350001,36.6958536000001",IS,103,94,70,80,347,1,1,1,1,1,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,No,No,No,,
