PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.25261094,36.74712847",IS,466,424,332,272,1494,0.91,0.91,1,0.6,1,0,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.25739017,36.75094516",IS,2649,2411,1885,1545,8490,0.83,0.83,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.25388843,36.74660714",IS,305,278,217,178,978,0.85,0.85,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24810866,36.74385808",IS,227,216,178,169,790,1,1,0,0,0,1,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.23579499,36.75812979",IS,1192,1085,848,696,3821,0.83,0.89,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.23935031,36.75148852",IS,1305,1188,928,761,4182,0.89,0.89,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.25274814,36.75064167",IS,706,642,502,412,2262,0.54,0.54,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.24369515,36.75393942",IS,155,147,122,116,540,0.8,0.8,0,0,0,1,,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.25322281,36.739285",IS,1258,1145,895,734,4032,1,1,1,0.6,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.24266081,36.75204592",IS,1138,1036,810,664,3648,0.92,0.92,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.24816218,36.73156191",IS,324,295,230,189,1038,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000439,Idleb,Harim,Deir Hassan,Morek,"36.24442368,36.734446",IS,3716,3382,2644,2168,11910,0.97,0.97,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.23727407,36.75084084",IS,525,500,413,393,1831,0.8,1,0,0,0,1,,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.23827348,36.75040183",IS,1795,1634,1277,1047,5753,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.23853474,36.74951124",IS,2246,2045,1598,1310,7199,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000568,Idleb,Harim,Deir Hassan,Mulhak Nour Al Houda * ,"36.24064012,36.74890789",IS,528,502,415,395,1840,0.3,0,0,0,0,1,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.24827694,36.75523424",IS,1353,1232,963,790,4338,0.71,0.71,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman ,"36.23799375,36.75100665",IS,358,325,254,209,1146,1,0,1,0.6,1,1,,1.Fully covered,Not covered - N/A,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.2430508,36.74573423",IS,857,780,610,500,2747,0.95,0.95,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.22739372,36.77459222",IS,19,17,13,11,60,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.24047401,36.73910679",IS,2538,2311,1806,1481,8136,0.96,0.96,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.18713349,36.75441032",IS,919,837,654,536,2946,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000555,Idleb,Harim,Deir Hassan,Tal Fakhar * ,"36.19307967,36.74602636",IS,410,300,175,158,1043,0.3,0,1,1,0.5,1,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.23591618,36.75555566",IS,260,237,185,152,834,1,1,1,0.6,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000567,Idleb,Harim,Deir Hassan,Al Fan Alshemali *,"36.24182546,36.73586831",IS,972,815,715,550,3052,0.55,0.55,1,1,0.7,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.23723206,36.78219005",IS,210,191,149,122,672,0.95,0.95,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.2364612,36.78072078",IS,1672,1522,1189,975,5358,1,1,1,0.6,1,0,,1.Fully covered,1.Fully covered,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.23453179,36.78390547",IS,146,133,104,85,468,0.93,0.93,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.24590454,36.77429554",IS,455,414,324,265,1458,0.87,0.87,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.25846112,36.76621556",IS,1039,946,739,606,3330,0.72,0.72,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.26768005,36.7474807",IS,343,312,244,200,1099,0.85,0.85,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.26494926,36.76403234",IS,294,268,209,171,942,0.61,0.61,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1918589,36.75431325",IS,66,76,50,43,235,1,0,0,0,0,1,,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.19309839,36.75575566",IS,283,257,201,165,906,0.81,0.81,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000469,Idleb,Harim,Deir Hassan,Omar Al Faroq,"36.18505592,36.75393559",IS,414,377,294,241,1326,0.93,0.93,1,0.6,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,1.Fully covered
CP000604,Idleb,Harim,Deir Hassan,Qasr Bin Wardan*,"36.24960614,36.73164355",IS,389,370,306,291,1356,0.35,0,0,0,0,1,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
