PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.2473694,36.7455056",IS,143,144,98,95,480,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour (Deir Hassan),"36.2493694,36.7476917",IS,295,297,202,196,990,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.236023,36.752781",IS,758,764,519,504,2545,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000532,Idleb,Harim,Deir Hassan,Al Safa wa Al Basher,"36.226286,36.735471",IS,535,480,675,654,2344,0.2,0.2,0.2,0.2,0.2,1,3. Partially covered,3. Partially covered,3. Partially covered,3. Partially covered,3. Partially covered,1. Fully covered
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.252197,36.74759",IS,486,489,333,323,1630,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.25659604,36.75148357",IS,1231,1239,842,818,4130,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.253109,36.746936",IS,107,108,73,72,360,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24717,36.74317",IS,331,333,226,220,1110,1,1,0,0,0,1,1. Fully covered,1. Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.2357694,36.7580444",IS,374,377,256,248,1255,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.237982,36.751332",IS,887,907,547,578,2919,0.8,0.8,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.252249,36.750899",IS,128,129,88,85,430,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.2436,36.75415",IS,201,203,138,134,675,0.8,0.8,0,0,0,1,2. Mostly covered,2. Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1. Fully covered
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.253834,36.737665",IS,589,593,403,391,1975,0.67,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.240268,36.750815",IS,470,445,368,321,1604,0.65,0.5,1,1,1,1,2. Mostly covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
