governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Al Ma'ra,Sanjar,Eastern Ejaz,"35.607711,36.916504",IS,31,40,18,24,113,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Western Ejaz,"35.651206,36.870174",IS,178,169,154,131,632,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,"35.479499,36.872842",IS,33,57,19,15,124,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Fakkah,"35.4191314331054,37.0774959326171",IS,32,30,36,32,130,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,"35.526228,37.090266",IS,41,21,23,17,102,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Sawame',"35.5907112,36.8634146",IS,61,39,60,39,199,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Khayriyeh,"35.46359,37.1801382",IS,31,34,29,34,128,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Lower Maksar,"35.510821,37.045859",IS,47,39,15,12,113,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Upper Maksar,"36.292303,36.705713",IS,66,39,59,58,222,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,"35.627156,37.09365",IS,18,19,18,15,70,0.5,,,,1,,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Mreijeb Slejah,"35.578157,37.220199",IS,113,132,108,90,443,0.75,,,,1,,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Mreijeb Elmashad,"35.438359,36.962822",IS,77,83,85,65,310,0.5,,,,1,1,3. Partially covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Lweibdeh,"35.623064,36.956973",IS,85,82,51,78,296,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Ojeh,"35.6938456,37.1176592",IS,42,57,36,22,157,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Qatra,"35.659379,36.909826",IS,34,35,39,39,147,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,"35.542477,36.990267",IS,145,130,112,94,481,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Ramleh,"35.636225,37.170093",IS,84,94,33,30,241,0.75,,,,1,,2. Mostly covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Re'a Alhawa,"35.55888783,37.0141243481445",IS,167,148,73,81,469,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tal Halawa,"35.43165578,37.19855126",IS,316,330,295,266,1207,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Tellemara,"35.505318,37.137567",IS,24,21,24,25,94,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Farja Al Gharbi,"35.5895747,36.90159235",IS,249,234,170,165,818,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Farja Al Janobi,"35.5817882209494,36.7837414300437",IS,30,25,21,20,96,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Janobi,"35.5870075050853,36.7415257252436",IS,81,84,56,47,268,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Shamali,"35.5858658727887,36.8818002503068",IS,28,24,13,15,80,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Al Raffa Al Sharqi,"35.5461073379964,36.8588766614769",IS,140,146,90,80,456,1,,,,1,,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
