PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000067,Idleb,Harim,Bab Al Hawa,Shahba'1 (Bab Al Hawa Lower,"36.2134209000034,36.7159075331217",IS,647,599,441,433,2120,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000451,Idleb,Harim,Bab Al Hawa,Umut Camp,"36.229753,36.715806",PC,2241,1792,1662,1248,6943,1,1,0,0,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000452,Idleb,Harim,Bab Al Hawa,Yalniz Degilsiniz 2,"36.237125,36.715806",PC,268,221,127,99,715,1,1,0,0,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000744,Idleb,Harim,Bab Al Hawa,Al Nasr 2 * ,"36.248703,36.706525",PC,1721,1780,1408,1474,6383,0.45,0,1,0.3,1,0.9,,3. Partially covered,Not covered - N/A,1.Fully covered,3. Partially covered,1.Fully covered,2.Mostly covered
CP000533,Idleb,Harim,Deir Hassan,Al Khair *,"36.2151056,36.7438056",IS,336,311,229,224,1100,0.15,0,0,0,0,1,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000569,Idleb,Harim,Babisqa,Aldiaa * ,"36.2137862633203,36.6670155386221",IS,332,296,453,313,1394,1,1,1,1,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000845,Idleb,Harim,Babisqa,Al Manara(Babisqa) * ,"36.222651,36.675663",IS,593,569,459,397,2018,0.6,0.5,1,1,0.5,0.7,,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered
CP000534,Idleb,Harim,Deir Hassan,Wadi Alazeeb * ,"36.21581656,36.74365304",IS,209,199,299,288,995,0.2,0.2,1,1,1,1,,3. Partially covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000535,Idleb,Harim,Deir Hassan,Al Salam (Deir Hassan) *,"36.21133867,36.74626531",IS,169,157,115,114,555,0.2,0.2,1,1,0,1,,3. Partially covered,3. Partially covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered
CP000541,Idleb,Harim,Deir Hassan,Al-Baraka ,"36.25445684,36.75148756",IS,1622,1501,1106,1086,5315,0.25,0,1,1,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000543,Idleb,Harim,Deir Hassan,Al-Waleed-Der hassan ,"36.21141694,36.74972834",IS,206,191,140,138,675,1,0,1,1,1,1,,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000544,Idleb,Harim,Deir Hassan,Al-Naeemiia *,"36.21249538,36.74769443",IS,665,616,454,445,2180,0.5,0,0,0,0,1,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000545,Idleb,Harim,Deir Hassan,Om Twaina *,"36.21226713,36.74790189",IS,270,250,184,181,885,0.6,0,0,0,0,1,,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000547,Idleb,Harim,Deir Hassan,Al-Ahmad *,"36.213842,36.744991",IS,188,174,128,126,616,0.1,0,1,1,1,1,,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000548,Idleb,Harim,Deir Hassan,Aldarraj *,"36.2119185,36.74754964",IS,64,94,84,66,308,0.8,1,1,1,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000549,Idleb,Harim,Deir Hassan,Tal alhattabat ,"36.25805405,36.75183287",IS,674,624,460,452,2210,0.3,0,0,0,0,1,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000550,Idleb,Harim,Deir Hassan,Om Qbaiba *,"36.210318,36.752846",IS,301,278,205,201,985,0.15,0,0,0,0,1,,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000553,Idleb,Harim,Deir Hassan,Abnaa alziara *,"36.212248,36.744179",IS,90,83,62,60,295,0.5,0,0,0,0,1,,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.24031981,36.74055805",IS,820,787,634,549,2790,0.87,0.87,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.24112212,36.74145123",IS,432,415,334,289,1470,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.25088241,36.75187499",IS,1136,1090,878,760,3864,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.25254552,36.7407834",IS,1147,1100,886,767,3900,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.24965532,36.74272491",IS,221,210,315,304,1050,1,1,0,1,1,1,,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.23248889,36.733032",IS,693,665,536,464,2358,0.97,0.97,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.25276902,36.74454443",IS,152,146,117,101,516,0.88,0.88,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.24972907,36.74260329",IS,1588,1523,1227,1062,5400,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.2476701,36.74530103",IS,293,281,226,196,996,0.78,0.78,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour (Deir Hassan) ,"36.24891742,36.74759331",IS,522,501,404,349,1776,0.92,0.92,1,1,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.23588835,36.75313939",IS,1662,1594,1285,1111,5652,0.97,0.97,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000532,Idleb,Harim,Deir Hassan,Al Safa wa Al Basher,"36.22660809,36.73428109",IS,609,580,870,841,2900,0.2,0.2,0,1,1,1,,3. Partially covered,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.25261094,36.74712847",IS,450,431,348,301,1530,1,0.91,1,0,1,1,,1.Fully covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.25739017,36.75094516",IS,2625,2518,2029,1756,8928,0.83,0.83,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.25388843,36.74660714",IS,303,291,235,203,1032,0.85,0.85,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24810866,36.74385808",IS,346,321,236,232,1135,1,1,0,0,0,1,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.23579499,36.75812979",IS,1291,1239,998,864,4392,0.83,0.89,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.23935031,36.75148852",IS,1297,1244,1002,867,4410,0.89,0.89,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.25274814,36.75064167",IS,603,579,466,404,2052,0.54,0.54,1,0,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.24369515,36.75393942",IS,345,319,235,231,1130,0.8,0.8,0,0,0,1,,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.25322281,36.739285",IS,1792,1719,1386,1199,6096,1,1,1,0,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.24266081,36.75204592",IS,1226,1176,948,820,4170,0.92,0.92,1,1,1,1,,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.24816218,36.73156191",IS,406,389,314,271,1380,1,1,1,1,1,1,,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.23727407,36.75084084",IS,970,931,750,649,3300,0.8,1,1,0,1,1,,2.Mostly covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
