governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Harim,Armanaz,Armanaz,Armanaz,Albaider school,36.502,36.084,"36.084,36.502",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Alshbiba buildinng,36.504,36.086,"36.086,36.504",CC,9,9,10,6,34,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Alzahra'a school,36.505,36.087,"36.087,36.505",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Aref Alnor school,36.506,36.088,"36.088,36.506",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Edadia Milis school,36.507,36.089,"36.089,36.507",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Beates shool,36.508,36.09,"36.09,36.508",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Mosque Alzahra'a,36.509,36.091,"36.091,36.509",CC,12,17,9,8,46,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Mosque Beates ,36.51,36.092,"36.092,36.51",CC,3,6,3,3,15,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Municipality building,36.511,36.093,"36.093,36.511",CC,40,44,30,26,140,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Armanaz,Armanaz,Armanaz,Thanoia Milis school,36.512,36.094,"36.094,36.512",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Abu Talha,Salqin,Abo Talha school,36.4363,36.104,"36.104,36.436",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Aleppo,Jebel Saman,Atareb,Abin Samaan,Atareb,Ra'a,36.745,36.1067,"36.106,36.745",IS,287,276,229,189,981,1,1,1,1,,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Ahmad Balaneh,36.5154,36.1165,"36.116,36.515",CC,9,5,4,4,22,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Almyah building,36.5174,36.1185,"36.118,36.517",CC,1,2,1,0,4,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Alzera'a building ,36.5184,36.1195,"36.119,36.518",CC,2,6,4,4,16,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Aref Kajo building ,36.5194,36.1205,"36.120,36.519",CC,4,3,4,4,15,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Ba'a building,36.5204,36.1215,"36.121,36.520",CC,11,10,5,5,31,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Bashar Bero building,36.5214,36.1225,"36.122,36.521",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Hamo building ,36.5224,36.1235,"36.123,36.522",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Kaf Altayar school,36.5234,36.1245,"36.124,36.523",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Mohammad Albashi building,36.5244,36.1255,"36.125,36.524",CC,6,5,3,4,18,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Raher building ,36.5254,36.1265,"36.126,36.525",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Kafr Takharim,Kafr Takharim,Kafr Takharim,Water department,36.5264,36.1275,"36.127,36.526",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Bab Al Hawa,Bab Al Hawa,Al Nahdha,36.4346,36.1221,"36.122,36.434",IS,94,116,102,102,414,,1,1,1,1,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Delbiya,Kafrina,Al Taakhi,36.4002,36.1321,"36.132,36.400",IS,421,396,321,285,1423,1,,,,,,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Salqin,Salqin,Kafrina,Al Safsafa,36.4238,36.1328,"36.132,36.423",IS,489,472,419,367,1747,1,,,,,,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,"b. 1,000 - 4,999"
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Al Bareed,36.6127,36.1385,"36.138,36.612",CC,9,7,6,6,28,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Al Edadia school,36.6147,36.1405,"36.140,36.614",CC,31,25,13,11,80,1,,,1,1,1,1. Fully covered,4. Not covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Al Kahraba'a,36.6157,36.1415,"36.141,36.615",CC,6,5,6,5,22,1,1,1,1,,,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Al Makhfar,36.6167,36.1425,"36.142,36.616",CC,23,30,12,11,76,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Al Mustawsaf,36.6177,36.1435,"36.143,36.617",CC,5,6,4,4,19,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Old court,36.6187,36.1445,"36.144,36.618",CC,3,2,1,1,7,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Said Bro's building,36.6197,36.1455,"36.145,36.619",CC,6,5,6,5,22,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Qourqeena,Qourqeena,Secondary school,36.6207,36.1465,"36.146,36.620",CC,9,11,12,9,41,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Ahmad Hameesh,36.4537,36.139,"36.139,36.453",CC,63,59,38,25,185,1,,0.6,1,1,1,1. Fully covered,4. Not covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Alba'ath,36.4557,36.141,"36.141,36.455",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Balaneh school,36.4567,36.142,"36.142,36.456",CC,4,5,2,2,13,1,,0.7,,1,1,1. Fully covered,4. Not covered,2. Mostly covered,4. Not covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Banin school,36.4577,36.143,"36.143,36.457",CC,47,44,20,19,130,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Ezzawi school,36.4587,36.144,"36.144,36.458",CC,95,80,35,30,240,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Faroqia school,36.4597,36.145,"36.145,36.459",CC,24,18,11,11,64,1,,,,1,1,1. Fully covered,4. Not covered,4. Not covered,4. Not covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Gharbeeah school,36.4607,36.146,"36.146,36.460",CC,40,30,20,18,108,1,,,1,1,1,1. Fully covered,4. Not covered,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Sakan Al Shababi,36.4617,36.147,"36.147,36.461",CC,131,111,53,55,350,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Tajneed,36.4627,36.148,"36.148,36.462",CC,15,15,5,5,40,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Al Thawra school,36.4637,36.149,"36.149,36.463",CC,50,55,25,20,150,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Rawdat Azhar Nessan,36.4647,36.15,"36.15,36.464",CC,10,5,3,3,21,1,,0.5,1,1,1,1. Fully covered,4. Not covered,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Recruitment division,36.4657,36.151,"36.151,36.465",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Almojama'a Altrbawi,36.4667,36.152,"36.152,36.466",CC,4,5,4,4,17,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Salqin,Salqin,Alseha Almadrsia,36.4677,36.153,"36.153,36.467",CC,4,4,2,1,11,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Qourqeena,Boz Ghaz,Qourqeena,Boz Gar school,36.6282,36.1426,"36.142,36.628",CC,0,0,0,0,0,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Salqin,Eskat,Salqin,Abdulhai Ammoun school,36.4749,36.1511,"36.151,36.474",CC,7,7,9,5,28,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Eskat,Salqin,Ahmad Ali Beek school,36.4769,36.1531,"36.153,36.476",CC,17,19,11,9,56,1,,0.6,1,1,1,1. Fully covered,4. Not covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Salqin,Allani,Salqin,Al Alani school,36.3891,36.1601,"36.160,36.389",CC,85,80,40,35,240,1,,0.6,1,1,1,1. Fully covered,4. Not covered,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
