PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24810866,36.74385808",IS,349,351,243,231,1174,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.23579499,36.75812979",IS,504,458,358,294,1614,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.23935031,36.75148852",IS,1177,1072,838,687,3774,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.25274814,36.75064167",IS,313,285,222,182,1002,1,1,1,1,1,1,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.24369515,36.75393942",IS,180,181,125,119,605,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.25322281,36.739285",IS,603,607,420,400,2030,0.67,1,1,1,1,1,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.24266081,36.75204592",IS,567,516,404,331,1818,0.65,0.5,1,1,1,1,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.24816218,36.73156191",IS,275,250,196,161,882,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000439,Idleb,Harim,Deir Hassan,Morek,"36.24442368,36.734446",IS,3164,2880,2251,1845,10140,0.6,0.6,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.23727407,36.75084084",IS,603,607,420,400,2030,0.8,1,0,0,0,1,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.23827348,36.75040183",IS,1546,1408,1100,902,4956,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.23853474,36.74951124",IS,1335,1215,950,779,4279,0.6,0.6,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000568,Idleb,Harim,Deir Hassan,Mulhak Nour Al Houda,"36.24072943,36.74813051",IS,435,395,347,302,1479,0.3,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.24827694,36.75523424",IS,726,661,517,424,2328,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman,"36.23799375,36.75100665",IS,343,312,244,200,1099,0.8,0.8,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.2430508,36.74573423",IS,550,501,392,321,1764,0.71,1,1,1,1,1,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.22739372,36.77459222",IS,193,176,137,112,618,0.25,0.25,1,1,1,1,3. Partially covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.24047401,36.73910679",IS,2164,1970,1540,1262,6936,0.58,0.58,1,1,1,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.18713349,36.75441032",IS,2128,1937,1514,1242,6821,0.5,0.5,1,1,1,1,Not covered - N/A,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000555,Idleb,Harim,Deir Hassan,Tal Fakhar,"36.19276608,36.74751727",IS,368,271,150,138,927,0.3,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.23591618,36.75555566",IS,204,186,145,119,654,0.45,0.45,1,1,1,1,3. Partially covered,3. Partially covered,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000567,Idleb,Harim,Deir Hassan,Al Fan Alshemali,"36.24182546,36.73586831",IS,526,529,585,531,2171,0.55,0.55,0,0,0,0,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.2369917,36.7824639",IS,219,199,156,128,702,0.1,0,1,1,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.2346472,36.7842361",IS,1091,993,777,637,3498,0.4,0,1,1,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered,1.Fully covered
