governorate,district,Sub District,Community,cluster,Location Name,longitude,latitude,geo,environment,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat,class
Idleb,Al Ma'ra,Sanjar,Qatra,Sanjar,Qatra,36.875766,35.653419,"35.653419,36.875766",IS,,,,,350,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,Sanjar,Fahil Jallas,36.958732,35.539429,"35.539429,36.958732",IS,,,,,350,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Rasm Elabed,Sanjar,Rasm Elabed,37.018107,35.529827,"35.529827,37.018107",IS,,,,,780,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Sanjar,Sanjar,Ramleh,37.072573,35.561275,"35.561275,37.072573",IS,,,,,340,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Ejaz,Sanjar,Eatern Ejaz,36.934314,35.620791,"35.620791,36.934314",IS,,,,,600,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Seraa,Sanjar,Re'a Alhawa,37.10889435,35.54018783,"35.54018783,37.10889435",IS,,,,,500,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mlolah,Sanjar,Aziziyeh,36.69409943,35.97586822,"35.97586822,36.69409943",IS,,,,,250,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Hawa,Sanjar,Fakkah,37.04545593,35.44628143,"35.44628143,37.04545593",IS,,,,,150,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,Sanjar,Mardagana Burtuqala,37.0275,35.586666,"35.586666,37.0275",IS,,,,,200,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Al Ma'ra,Sanjar,Northern Lweibdeh,Sanjar,Lweibdeh,36.930493,35.531654,"35.531654,36.930493",IS,,,,,400,,,,,,,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,4. Not covered,a. 0 - 999
Idleb,Harim,Dana,Aqrabat,Aqrabat,Aqrabat (Ahl Al-Athar),36.701992,36.266302,"36.266302,36.701992",IS,185,175,183,150,693,,1,1,1,1,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Dana,Al Dana,Al Dana,36.757281,36.2044,"36.2044,36.757281",IS,74,73,54,55,256,,1,1,1,,1,4. Not covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered,1. Fully covered,a. 0 - 999
Idleb,Harim,Dana,Atma,Atmeh,Atmeh,36.663372,36.322614,"36.322614,36.663372",IS,18264,15899,15143,13405,62711,0.9,1,1,1,1,1,2. Mostly covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,"e. > 20,000"
