PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000331,Idleb,Jisr-Ash-Shugur,Jisr-Ash-Shugur,Al Kaderiyeh,"35.8954771195562,36.3231078374066",IS,24,21,42,28,115,0.8,0.8,0.85,0.8,0.84,0.51,,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000879,Aleppo,Al Bab,Al Bab,Bazagha * ,"36.3735129,37.5798033",IS,286,297,226,222,1031,1,0.75,0.3,0.8,0.9,0.9,,1.Fully covered,2.Mostly covered,3. Partially covered,2.Mostly covered,2.Mostly covered,2.Mostly covered
CP000882,Aleppo,Al Bab,Al Bab,Al Bourj *,"36.3850004,37.5654532",IS,758,565,406,371,2100,1,0.5,0.2,0.4,0.15,0.49,,1.Fully covered,Not covered - N/A,3. Partially covered,3. Partially covered,3. Partially covered,3. Partially covered
CP001004,Aleppo,Azaz,Azaz,Karaj Sujo *,"36.64109361392007,37.05054841016222",IS,950,830,840,730,3350,1,0.75,0.15,0.7,0.1,0.9,,1.Fully covered,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered,2.Mostly covered
CP001005,Aleppo,Azaz,Azaz,Wadi Marrin * ,"36.63071716709497,37.046078295354974",IS,337,300,305,275,1217,1,0.75,0.2,0.7,0.01,0.8,,1.Fully covered,2.Mostly covered,3. Partially covered,2.Mostly covered,3. Partially covered,2.Mostly covered
CP000884,Aleppo,Azaz,Azaz,Dabeq *,"36.540239,37.269706",IS,296,270,211,173,950,1,0.75,0,0,0,0,,1.Fully covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000966,Aleppo,Azaz,Azaz,Kafra*,"36.562543,37.162497",IS,204,207,128,104,643,1,0.75,0,0,0,0,,1.Fully covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000870,Aleppo,Afrin,Afrin,Zagrous * ,"36.5544205,36.8170949",IS,40,27,80,53,200,1,0.75,0,0,0,0,,1.Fully covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000871,Aleppo,Afrin,Afrin,Diyar * ,"36.545745,36.904413",CC,27,25,25,22,99,1,0.75,0,1,1,1,,1.Fully covered,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered
CP000872,Aleppo,Afrin,Afrin,Albayraq *,"36.517835,36.877256",CC,46,33,49,37,165,1,1,0,1,1,1,,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered,1.Fully covered
CP000906,Aleppo,Jarablus,Jarablus,Al Kanawi *,"36.718523972667754,37.72177739068866",IS,356,327,269,148,1100,1,1,0,0.7,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP000907,Aleppo,Jarablus,Jarablus, Al Matar Al Ziraai *,"36.71664479188621,37.75168804451823",IS,244,223,175,158,800,1,1,0,0.5,0.5,0,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001013,Aleppo,Jarablus,Jarablus,Al Kadi*,"36.71763264108449,37.659236155450344",IS,133,115,74,63,385,1,1,0,0.51,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP000950,Aleppo,Jarablus,Jarablus,Al A'lkana *,"36.657567587681115,37.711803847923875",IS,905,766,256,173,2100,1,1,0,0.7,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP001000,Aleppo,Jarablus,Jarablus,Lilawa*,"36.68295633047819,37.74371735751629",IS,295,253,126,106,780,1,1,0,0.7,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP000944,Aleppo,Jarablus,Jarablus,Al Khalawi * ,"36.819313298910856,37.99810585565865",IS,140,109,149,122,520,1,1,0,0,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000945,Aleppo,Jarablus,Jarablus,Khalf Al Malaab *,"36.8241453403607,38.01365939900279",IS,592,532,308,268,1700,1,1,0,0.51,0,1,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered
CP000946,Aleppo,Jarablus,Jarablus,Al Haraksha*,"36.79749650415033,37.9913064558059",IS,161,137,150,132,580,1,1,0,0.51,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP000947,Aleppo,Jarablus,Jarablus,Al koush *,"36.80613728240132,38.01694979891181",IS,133,112,128,102,475,1,1,0,0.5,0,0.5,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000948,Aleppo,Jarablus,Jarablus,Al Ziraa*,"36.806680262088776,38.00256100483239",IS,197,131,153,144,625,1,1,0,0.74,0,1,,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered
CP000949,Aleppo,Jarablus,Jarablus,Abo Shihab*,"36.80727277882397,38.01876414567232",IS,387,259,303,260,1209,1,1,0,0.5,0,0.74,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,2.Mostly covered
CP001001,Aleppo,Jarablus,Jarablus,Al Ghalad*,"36.66400291956961,37.98834797926247",IS,75,61,73,62,271,1,1,0,0.5,0,0,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP001011,Aleppo,Jarablus,Jarablus,Ein Al Abeed*,"36.78737221285701,37.97338653355837",IS,234,198,216,196,844,1,1,0,0.5,0,0.5,,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
