PCODE,governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,NFI,Water,Sanitation,Waste_Removal,Food,shelter_cat,NFI_cat,water_cat,sanitation_cat,waste_cat,Food_cat
CP000273,Idleb,Harim,Deir Hassan,Abu Obeida Ben Aljaraah,"36.24040341,36.74051416",IS,748,774,542,516,2580,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000333,Idleb,Harim,Deir Hassan,Ahl Al Balad,"36.24112212,36.74145123",IS,401,415,291,277,1384,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000407,Idleb,Harim,Deir Hassan,Al Bunian Al Kuwaite,"36.25088241,36.75187499",IS,871,901,631,601,3004,0.61,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000470,Idleb,Harim,Deir Hassan,Al Iman,"36.25254552,36.7407834",IS,672,695,486,463,2316,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000489,Idleb,Harim,Deir Hassan,Al Jesat,"36.25170995,36.74225982",IS,146,147,101,97,491,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000435,Idleb,Harim,Deir Hassan,Al Mansour,"36.23248889,36.733032",IS,214,186,159,130,689,0.3,0,1,0.25,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,3. Partially covered,1.Fully covered,1.Fully covered
CP000436,Idleb,Harim,Deir Hassan,Al Mazalem,"36.25271092,36.74449649",IS,132,137,96,91,456,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000334,Idleb,Harim,Deir Hassan,Al Nahda,"36.24963357,36.74237869",IS,1656,1714,1200,1142,5712,0.75,0.6,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000409,Idleb,Harim,Deir Hassan,Al Naief,"36.2476701,36.74530103",IS,202,209,146,139,696,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000437,Idleb,Harim,Deir Hassan,Al Nour (Deir Hassan),"36.24920808,36.74784505",IS,421,436,305,290,1452,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000274,Idleb,Harim,Deir Hassan,Al Rahmah Lahl Al Gab (Al Qaqaa),"36.23588835,36.75313939",IS,1185,1226,858,817,4086,0.8,0.8,0.25,0.6,0,1,2.Mostly covered,2.Mostly covered,3. Partially covered,2.Mostly covered,Not covered - N/A,1.Fully covered
CP000532,Idleb,Harim,Deir Hassan,Al Safa wa Al Basher,"36.22660809,36.73428109",IS,665,670,464,441,2240,0.2,0.2,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000476,Idleb,Harim,Deir Hassan,Al Shomaria,"36.25211649,36.74707485",IS,355,367,257,245,1224,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000340,Idleb,Harim,Deir Hassan,Al Wdhehee,"36.25739017,36.75094516",IS,1528,1580,1106,1054,5268,1,1,0.5,0.6,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered
CP000475,Idleb,Harim,Deir Hassan,Babes,"36.25265167,36.7459485",IS,131,135,95,90,451,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000466,Idleb,Harim,Deir Hassan,Badelha ,"36.24810866,36.74385808",IS,349,351,243,231,1174,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000336,Idleb,Harim,Deir Hassan,Ebtieen,"36.23579499,36.75812979",IS,346,358,251,239,1194,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000275,Idleb,Harim,Deir Hassan,Ghetaa Al Rahma 1,"36.23935031,36.75148852",IS,964,997,698,665,3324,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000474,Idleb,Harim,Deir Hassan,Halab Alshahba,"36.25274814,36.75064167",IS,291,301,210,200,1002,1,1,0,0,0,1,1.Fully covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000463,Idleb,Harim,Deir Hassan,Kafr Obaid,"36.24369515,36.75393942",IS,180,181,125,119,605,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000473,Idleb,Harim,Deir Hassan,Khan Sheikhon,"36.25322281,36.739285",IS,960,994,696,662,3312,0.67,1,0,0,0,1,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000410,Idleb,Harim,Deir Hassan,Khan Toman,"36.24266081,36.75204592",IS,397,410,287,274,1368,0.65,0.5,0,0,0,1,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000438,Idleb,Harim,Deir Hassan,Lastom Wahdakom,"36.24816218,36.73156191",IS,338,349,244,233,1164,0.8,0.8,0.6,0.7,0,-,2.Mostly covered,2.Mostly covered,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A
CP000439,Idleb,Harim,Deir Hassan,Morek,"36.24442368,36.734446",IS,2593,2682,1877,1788,8940,0.6,0.6,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000472,Idleb,Harim,Deir Hassan,Nasaem Al Khayr 2,"36.23727407,36.75084084",IS,603,607,420,400,2030,0.8,1,0,0,0,1,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000276,Idleb,Harim,Deir Hassan,Nasaem Al Khayr,"36.23827348,36.75040183",IS,1437,1487,1041,991,4956,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000277,Idleb,Harim,Deir Hassan,Nour Al Houda,"36.23853474,36.74951124",IS,1241,1283,898,856,4278,0.6,0.6,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000568,Idleb,Harim,Deir Hassan,Mulhak Nour Al Houda,"36.24072943,36.74813051",IS,417,382,332,287,1418,0.3,0,0.92,0,1,1,3. Partially covered,Not covered - N/A,2.Mostly covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000440,Idleb,Harim,Deir Hassan,Nour Al Kheir,"36.24827694,36.75523424",IS,588,608,426,406,2028,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000411,Idleb,Harim,Deir Hassan,Qariat Al Iman,"36.23799375,36.75100665",IS,318,329,230,220,1097,0.8,0.8,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000471,Idleb,Harim,Deir Hassan,Qyam,"36.2430508,36.74573423",IS,351,363,254,242,1210,0.71,1,0,0,0,1,2.Mostly covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000338,Idleb,Harim,Deir Hassan,Reef Aleppo,"36.22739372,36.77459222",IS,180,185,129,123,617,0.25,0.25,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000328,Idleb,Harim,Deir Hassan,Sons of Mehin (Abna Mehin),"36.24047401,36.73910679",IS,1743,1803,1262,1202,6010,0.58,0.58,0,0,0,1,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000339,Idleb,Harim,Deir Hassan,Tal Al Karama,"36.18713349,36.75441032",IS,2221,2298,1609,1532,7660,0.5,0.5,0,0,0,1,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000555,Idleb,Harim,Deir Hassan,Tal Fakhar,"36.19276608,36.74751727",IS,213,195,157,136,701,0.3,0,1,0,1,1,3. Partially covered,Not covered - N/A,1.Fully covered,Not covered - N/A,1.Fully covered,1.Fully covered
CP000335,Idleb,Harim,Deir Hassan,Zamzam,"36.23591618,36.75555566",IS,190,196,137,131,654,0.45,0.45,0,0,0,1,3. Partially covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000567,Idleb,Harim,Deir Hassan,Al Fan Alshemali,"36.24182546,36.73586831",IS,526,529,585,531,2171,0.55,0.55,0,0,0,0,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000441,Idleb,Harim,Deir Hassan,Al Bo Fares,"36.2369917,36.7824639",IS,151,157,110,104,522,0.1,0,0,0,0,1,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000377,Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.2346472,36.7842361",IS,1014,1049,735,700,3498,0.4,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000415,Idleb,Harim,Deir Hassan,Al Ghoraba Homs,"36.238751,36.781131",IS,118,122,86,82,408,0.25,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000442,Idleb,Harim,Deir Hassan,Al Seraj,"36.2440778,36.7763556",IS,350,362,253,241,1206,0.25,0,0,0,0,0,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000443,Idleb,Harim,Deir Hassan,Al Hadaba Al Khadra,"36.25849251,36.76628471",IS,705,729,510,486,2430,0.61,0.45,0,0,0,0,2.Mostly covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000444,Idleb,Harim,Deir Hassan,Al Hader,"36.26768005,36.7474807",IS,90,94,66,62,312,0.8,0.8,0,0,0,0,2.Mostly covered,2.Mostly covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000337,Idleb,Harim,Deir Hassan,Al Mashhad,"36.26494926,36.76403234",IS,195,202,141,134,672,0.6,0.6,1,1,0,1,2.Mostly covered,2.Mostly covered,1.Fully covered,1.Fully covered,Not covered - N/A,1.Fully covered
CP000465,Idleb,Harim,Deir Hassan,Ard Al Matar 2,"36.1918589,36.75431325",IS,66,76,50,43,235,1,0,0,0,0,1,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000464,Idleb,Harim,Deir Hassan,Ard Al Matar,"36.19309839,36.75575566",IS,198,205,144,137,684,0.4,1,0,0,0,1,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000469,Idleb,Harim,Deir Hassan,Omar Al Faroq,"36.18505592,36.75393559",IS,259,268,188,179,894,0.3,1,0,0,0,1,3. Partially covered,1.Fully covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,1.Fully covered
CP000454,Idleb,Harim,Kafr Loseen,Al Farja,"36.2444083,36.7246611",IS,75,72,55,41,243,1,0.2,0,0,0,0,1.Fully covered,3. Partially covered,Not covered - N/A,Not covered - N/A,Not covered - N/A,Not covered - N/A
CP000455,Idleb,Harim,Kafr Loseen,Al Qunetrat,"36.24351555,36.72264978",IS,131,118,96,88,433,0.35,0.6,1,0.9,1,0.95,3. Partially covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,2.Mostly covered
CP000194,Idleb,Harim,Kafr Loseen,Damaet Nazeh,"36.24823828,36.71037192",IS,517,478,423,395,1813,0.4,0,0.94,0.9,1,0.92,3. Partially covered,Not covered - N/A,2.Mostly covered,2.Mostly covered,1.Fully covered,2.Mostly covered
CP000491,Idleb,Harim,Kafr Loseen,Khattab,"36.25006238,36.70788668",IS,362,328,297,241,1228,0.35,0.9,1,0.9,1,0.97,3. Partially covered,2.Mostly covered,1.Fully covered,2.Mostly covered,1.Fully covered,2.Mostly covered
