governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Al Ma'ra,Sanjar,Al Farja Al Janobi,"35.5817882209494,36.7837414300437",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Sarmada,Al Faroq,"36.120803,36.614552",IS,0,0,0,0,0,0,0,0,0,0,0,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A,4. Not covered - N/A
Idleb,Harim,Karama,Al Farouk,"36.237194,36.753152",IS,293,279,205,193,970,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Sarmada,Al Fateh,"36.251039,36.70816",IS,69,93,51,87,300,0.5,1,1,1,0,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Liyajlikum,Al Fateh Al Araby,"36.323172732,36.687794884",IS,146,191,165,122,625,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Jisr-Ash-Shugur,Kherbet Eljoz,Al Fateha,"35.9187840420001,36.18200645",IS,208,162,119,116,605,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Deir Hassan,Al Foqaraa (The Poor),"36.223600207,36.7063965120001",IS,191,207,101,96,595,0.2,1,1,1,0.2,1,3. Partially covered,1. Fully covered,1. Fully covered,1. Fully covered,3. Partially covered,1. Fully covered
Idleb,Harim,Salam,Al Forkan,"36.307826,36.674392",IS,339,324,270,275,1208,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ghab Al Mankoub,"36.2112705710001,36.631485776",IS,148,160,145,166,619,1,1,1,1,0,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Salam,Al Goroub,"36.367132732,36.625524884",IS,170,208,147,146,671,0,1,1,1,0,0,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,4. Not covered - N/A
Idleb,Jisr-Ash-Shugur,Oben,Al Hanbushiyeh,"35.796408,36.263596",IS,335,527,490,442,1794,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Haneen,"36.3035005710001,36.676635776",IS,114,118,97,87,416,0,1,1,1,0,1,4. Not covered - N/A,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A,1. Fully covered
Idleb,Harim,Karama,Al Haq,"36.195281,36.725395",IS,128,139,144,112,523,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Aleppo,A'zaz,Azaz,Al Harameen (and extensions),"36.551269,37.200675",TC,2145,1750,1210,1025,6130,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Karama,Al Hijaz,"36.319834,36.69374",IS,139,149,110,125,523,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
Idleb,Harim,Liyajlikum,Al Hurriya wa Adalah,"36.387032732,36.795974884",IS,396,393,221,268,1278,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhaa,"36.296511,36.688563",IS,384,405,351,357,1497,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Karama,Al Ikhlas,"36.226507,36.639933",IS,249,227,171,191,838,1,1,1,1,1,1,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered
Idleb,Harim,Liyajlikum,Al Ikhlas and Al Taqua,"36.351822732,36.659004884",IS,256,339,172,130,897,1,1,1,1,1,0,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,1. Fully covered,4. Not covered - N/A
