governorate,district,cluster,camp_name,geo,TypeSite,girls,boys,women,men,individual,Shelter,Water,Sanitation,Waste Removal,NFI,Food,shelter_cat,water_cat,sanitation_cat,waste_cat,NFI_cat,Food_cat
Idleb,Al Ma'ra,Sanjar,Khaldyiah,"35.351806,37.122599",IS,62,62,62,54,240,0.5,0.5,0.1,,1,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Eastern Ejaz,"35.607711,36.916504",IS,148,140,104,98,490,0.5,0.5,0.1,,1,0.25,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Western Ejaz,"35.651206,36.870174",IS,327,348,263,185,1123,0.75,0.75,0.25,,1,0.25,2. Mostly covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Fahil Jallas,"35.479499,36.872842",IS,50,86,29,25,190,0.75,0.8,0.25,,1,0.25,2. Mostly covered,2. Mostly covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Fakkah,"35.4191314331054,37.0774959326171",IS,38,37,39,34,148,0.1,0.25,0.25,,1,1,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,1. Fully covered
Idleb,Al Ma'ra,Sanjar,Jeb Elqasab,"35.526228,37.090266",IS,40,21,23,17,101,0.8,0.5,0.25,,1,0.25,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,3. Partially covered
Idleb,Al Ma'ra,Sanjar,Sawame',"35.5907112,36.8634146",IS,121,140,113,88,462,0.9,0.25,0.25,,0.25,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,3. Partially covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Khayriyeh,"35.46359,37.1801382",IS,32,35,32,35,134,0.9,0.25,0.1,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Lower Maksar,"35.510821,37.045859",IS,47,39,18,13,117,0.8,0.5,0.25,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Upper Maksar,"36.292303,36.705713",IS,70,44,63,51,228,0.75,0.5,0.25,,1,,2. Mostly covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
Idleb,Al Ma'ra,Sanjar,Mardagana Burtuqala,"35.627156,37.09365",IS,19,19,21,17,76,0.5,0.5,0.1,,1,,3. Partially covered,3. Partially covered,3. Partially covered,4. Not covered - N/A,1. Fully covered,4. Not covered - N/A
